TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,IMPORTE_TASA_TURISTICA#es,IMPORTE_TASA_TURISTICA_CODE,PAIS_RESIDENCIA#es,PAIS_RESIDENCIA_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Alemania,DE,Turistas,TURISTAS,4567,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Reino Unido,GB,Turistas,TURISTAS,743,,,Dato estimado con menos de 20 observaciones muestrales
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Total,_T,Turistas,TURISTAS,10788,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,3026,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Hasta 2€,EUR_LE2,Otro,_O,Turistas,TURISTAS,2452,,,Dato estimado con menos de 20 observaciones muestrales
La Palma,ES707,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Alemania,DE,Turistas,TURISTAS,812,,,Dato estimado con menos de 20 observaciones muestrales
La Palma,ES707,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Reino Unido,GB,Turistas,TURISTAS,704,,,Dato estimado con menos de 20 observaciones muestrales
La Palma,ES707,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Total,_T,Turistas,TURISTAS,5272,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,1948,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,No aplicable,_Z,Otro,_O,Turistas,TURISTAS,1808,,,Dato estimado con menos de 20 observaciones muestrales
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Total,_T,Alemania,DE,Turistas,TURISTAS,9702,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Total,_T,Reino Unido,GB,Turistas,TURISTAS,2162,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Total,_T,Total,_T,Turistas,TURISTAS,30966,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Total,_T,España (excluida Canarias),ES_XIC,Turistas,TURISTAS,9708,,,
La Palma,ES707,2024 Segundo trimestre,2024-Q2,Total,_T,Otro,_O,Turistas,TURISTAS,9394,,,
